step,safety,procedure,terminology,reward_scalar,parse_success
23,0.3242118817183881,0.3242118817183881,0.3242118817183881,0.3242118817183881,1.0
24,0.33998570507792214,0.33998570507792214,0.33998570507792214,0.3399857050779222,1.0
25,0.33659549664835847,0.33659549664835847,0.33659549664835847,0.33659549664835847,1.0
26,0.32647177363907337,0.32647177363907337,0.32647177363907337,0.32647177363907337,1.0
27,0.3410024086124418,0.3410024086124418,0.3410024086124418,0.34100240861244185,0.99609375
28,0.3399028758528838,0.3399028758528838,0.3399028758528838,0.33990287585288387,1.0
29,0.33717816592410677,0.33717816592410677,0.33717816592410677,0.33717816592410677,0.984375
30,0.35891894201830554,0.35891894201830554,0.35891894201830554,0.3589189420183055,0.96875
31,0.3420704452035641,0.3420704452035641,0.3420704452035641,0.3420704452035641,0.984375
32,0.3372592571110002,0.3372592571110002,0.3372592571110002,0.3372592571110002,0.984375
33,0.3276353592368543,0.3276353592368543,0.3276353592368543,0.3276353592368543,0.99609375
34,0.35325121499983425,0.35325121499983425,0.35325121499983425,0.35325121499983425,0.9375
35,0.37130457330025307,0.37130457330025307,0.37130457330025307,0.37130457330025307,0.99609375
36,0.33834613359180177,0.33834613359180177,0.33834613359180177,0.33834613359180177,0.96875
37,0.3461001651849953,0.3461001651849953,0.3461001651849953,0.3461001651849953,1.0
38,0.3524730722754603,0.3524730722754603,0.3524730722754603,0.3524730722754603,0.99609375
39,0.3412689904483907,0.3412689904483907,0.3412689904483907,0.3412689904483907,1.0
40,0.35884979457087207,0.35884979457087207,0.35884979457087207,0.35884979457087207,0.96484375
41,0.3615072955498582,0.3615072955498582,0.3615072955498582,0.3615072955498582,1.0
42,0.35966969308681485,0.35966969308681485,0.35966969308681485,0.35966969308681485,1.0
43,0.3537960323817941,0.3537960323817941,0.3537960323817941,0.3537960323817941,1.0
44,0.36659701131147054,0.36659701131147054,0.36659701131147054,0.36659701131147054,0.98828125
45,0.35449493455042536,0.35449493455042536,0.35449493455042536,0.35449493455042536,1.0
46,0.36708475131685375,0.36708475131685375,0.36708475131685375,0.36708475131685375,0.99609375
47,0.36122864739207194,0.36122864739207194,0.36122864739207194,0.36122864739207194,1.0
48,0.38160638643365713,0.38160638643365713,0.38160638643365713,0.38160638643365713,1.0
49,0.35901960268391114,0.35901960268391114,0.35901960268391114,0.35901960268391114,1.0
50,0.39085600418242794,0.39085600418242794,0.39085600418242794,0.39085600418242794,1.0
51,0.37732351672490533,0.37732351672490533,0.37732351672490533,0.37732351672490533,1.0
52,0.3445252119236818,0.3445252119236818,0.3445252119236818,0.3445252119236818,1.0
53,0.37571794945301773,0.37571794945301773,0.37571794945301773,0.3757179494530177,1.0
54,0.3903230955093898,0.3903230955093898,0.3903230955093898,0.3903230955093898,1.0
55,0.36844435369241135,0.36844435369241135,0.36844435369241135,0.36844435369241135,1.0
56,0.37530867607183704,0.37530867607183704,0.37530867607183704,0.37530867607183704,1.0
57,0.3982783984978096,0.3982783984978096,0.3982783984978096,0.3982783984978096,1.0
58,0.37173968481537095,0.37173968481537095,0.37173968481537095,0.37173968481537095,1.0
59,0.36743466945367964,0.36743466945367964,0.36743466945367964,0.36743466945367964,1.0
60,0.3702729541931362,0.3702729541931362,0.3702729541931362,0.3702729541931362,1.0
61,0.36786583626703995,0.36786583626703995,0.36786583626703995,0.36786583626703995,1.0
62,0.35812988080749736,0.35812988080749736,0.35812988080749736,0.35812988080749736,1.0
63,0.3636849200002784,0.3636849200002784,0.3636849200002784,0.36368492000027847,1.0
64,0.3902464966253033,0.3902464966253033,0.3902464966253033,0.3902464966253033,1.0
65,0.3778842775612893,0.3778842775612893,0.3778842775612893,0.3778842775612893,1.0
66,0.39762137358540867,0.39762137358540867,0.39762137358540867,0.39762137358540867,1.0
67,0.38737314262761186,0.38737314262761186,0.38737314262761186,0.38737314262761186,1.0
68,0.3921504558027919,0.3921504558027919,0.3921504558027919,0.3921504558027919,1.0
69,0.3916100580285289,0.3916100580285289,0.3916100580285289,0.3916100580285289,1.0
70,0.367915838283706,0.367915838283706,0.367915838283706,0.367915838283706,1.0
71,0.38634227601784554,0.38634227601784554,0.38634227601784554,0.3863422760178456,1.0
72,0.39228301186149167,0.39228301186149167,0.39228301186149167,0.39228301186149167,1.0
73,0.3818797578562021,0.3818797578562021,0.3818797578562021,0.3818797578562021,1.0
74,0.3814076394802661,0.3814076394802661,0.3814076394802661,0.3814076394802661,1.0
75,0.37030667512473575,0.37030667512473575,0.37030667512473575,0.37030667512473575,1.0
76,0.3337858313177611,0.3337858313177611,0.3337858313177611,0.3337858313177611,1.0
